State,Year,Crime,Arrests
NM,2018,Motor Vehicle Theft,379
NM,2019,Motor Vehicle Theft,285
NM,2020,Motor Vehicle Theft,229
NM,2021,Motor Vehicle Theft,178
NY,2017,Motor Vehicle Theft,1793
NY,2018,Motor Vehicle Theft,1820
NY,2019,Motor Vehicle Theft,1770
NY,2020,Motor Vehicle Theft,1801
NY,2021,Motor Vehicle Theft,520
NC,2017,Motor Vehicle Theft,1338
NC,2018,Motor Vehicle Theft,1663
NC,2019,Motor Vehicle Theft,1103
NC,2020,Motor Vehicle Theft,1280
NC,2021,Motor Vehicle Theft,1315
ND,2017,Motor Vehicle Theft,290
ND,2018,Motor Vehicle Theft,216
ND,2019,Motor Vehicle Theft,236
ND,2020,Motor Vehicle Theft,305
ND,2021,Motor Vehicle Theft,225
OH,2017,Motor Vehicle Theft,978
OH,2018,Motor Vehicle Theft,972
OH,2019,Motor Vehicle Theft,923
OH,2020,Motor Vehicle Theft,763
OH,2021,Motor Vehicle Theft,935
OK,2017,Motor Vehicle Theft,730
OK,2018,Motor Vehicle Theft,889
OK,2019,Motor Vehicle Theft,1365
OK,2020,Motor Vehicle Theft,1513
OK,2021,Motor Vehicle Theft,1406
OR,2017,Motor Vehicle Theft,2001
OR,2018,Motor Vehicle Theft,2112
OR,2019,Motor Vehicle Theft,2181
OR,2020,Motor Vehicle Theft,1968
OR,2021,Motor Vehicle Theft,2168
PA,2017,Motor Vehicle Theft,2435
PA,2018,Motor Vehicle Theft,2519
PA,2019,Motor Vehicle Theft,627
PA,2020,Motor Vehicle Theft,12
PA,2021,Motor Vehicle Theft,76
RI,2017,Motor Vehicle Theft,157
RI,2018,Motor Vehicle Theft,158
RI,2019,Motor Vehicle Theft,141
RI,2020,Motor Vehicle Theft,154
RI,2021,Motor Vehicle Theft,164
SC,2017,Motor Vehicle Theft,1147
SC,2018,Motor Vehicle Theft,1204
SC,2019,Motor Vehicle Theft,1195
SC,2020,Motor Vehicle Theft,1159
SC,2021,Motor Vehicle Theft,1081
SD,2017,Motor Vehicle Theft,315
SD,2018,Motor Vehicle Theft,203
SD,2019,Motor Vehicle Theft,279
SD,2020,Motor Vehicle Theft,385
SD,2021,Motor Vehicle Theft,248
TN,2017,Motor Vehicle Theft,3552
TN,2018,Motor Vehicle Theft,3974
TN,2019,Motor Vehicle Theft,4114
TN,2020,Motor Vehicle Theft,3943
TN,2021,Motor Vehicle Theft,3582
TX,2017,Motor Vehicle Theft,5479
TX,2018,Motor Vehicle Theft,5404
TX,2019,Motor Vehicle Theft,5459
TX,2020,Motor Vehicle Theft,5847
TX,2021,Motor Vehicle Theft,6681
UT,2017,Motor Vehicle Theft,552
UT,2018,Motor Vehicle Theft,555
UT,2019,Motor Vehicle Theft,411
UT,2020,Motor Vehicle Theft,438
UT,2021,Motor Vehicle Theft,374
VT,2017,Motor Vehicle Theft,33
VT,2018,Motor Vehicle Theft,55
VT,2019,Motor Vehicle Theft,76
VT,2020,Motor Vehicle Theft,61
VT,2021,Motor Vehicle Theft,76
VI,2018,Motor Vehicle Theft,16
VA,2017,Motor Vehicle Theft,1118
VA,2018,Motor Vehicle Theft,1223
VA,2019,Motor Vehicle Theft,1030
VA,2020,Motor Vehicle Theft,1058
VA,2021,Motor Vehicle Theft,1008
WA,2017,Motor Vehicle Theft,1639
WA,2018,Motor Vehicle Theft,1604
WA,2019,Motor Vehicle Theft,1285
WA,2020,Motor Vehicle Theft,1390
WA,2021,Motor Vehicle Theft,1124
WV,2017,Motor Vehicle Theft,311
WV,2018,Motor Vehicle Theft,229
WV,2019,Motor Vehicle Theft,205
WV,2020,Motor Vehicle Theft,201
WV,2021,Motor Vehicle Theft,176
WI,2017,Motor Vehicle Theft,1385
WI,2018,Motor Vehicle Theft,1449
WI,2019,Motor Vehicle Theft,1343
WI,2020,Motor Vehicle Theft,1236
WI,2021,Motor Vehicle Theft,1165
WY,2017,Motor Vehicle Theft,130
WY,2018,Motor Vehicle Theft,128
WY,2019,Motor Vehicle Theft,104
WY,2020,Motor Vehicle Theft,149
WY,2021,Motor Vehicle Theft,109
AL,2017,Arson,104
AL,2018,Arson,110
AL,2019,Arson,88
AL,2020,Arson,3
AL,2021,Arson,24
AK,2017,Arson,22
AK,2018,Arson,43
AK,2019,Arson,49
AK,2020,Arson,42
AK,2021,Arson,13
AZ,2017,Arson,232
AZ,2018,Arson,417
AZ,2019,Arson,180
AZ,2020,Arson,218
AZ,2021,Arson,101
AR,2017,Arson,40
AR,2018,Arson,69
AR,2019,Arson,65
AR,2020,Arson,62
AR,2021,Arson,68
CA,2017,Arson,1573
CA,2018,Arson,1529
CA,2019,Arson,1575
CA,2020,Arson,2051
CA,2021,Arson,139
CO,2017,Arson,287
CO,2018,Arson,232
CO,2019,Arson,223
CO,2020,Arson,306
CO,2021,Arson,302
CT,2017,Arson,75
CT,2018,Arson,82
CT,2019,Arson,62
CT,2020,Arson,67
CT,2021,Arson,47
DE,2017,Arson,32
DE,2018,Arson,22
DE,2019,Arson,24
DE,2020,Arson,18
DE,2021,Arson,20
DC,2017,Arson,0
DC,2018,Arson,1
DC,2019,Arson,0
DC,2020,Arson,0
DC,2021,Arson,1
FL,2017,Arson,241
FL,2018,Arson,9
FL,2019,Arson,252
FL,2020,Arson,257
FL,2021,Arson,0
GA,2017,Arson,173
GA,2018,Arson,139
GA,2019,Arson,92
GA,2020,Arson,110
GA,2021,Arson,116
HI,2017,Arson,23
HI,2018,Arson,34
HI,2019,Arson,44
HI,2020,Arson,45
HI,2021,Arson,29
ID,2017,Arson,54
ID,2018,Arson,58
ID,2019,Arson,48
ID,2020,Arson,46
ID,2021,Arson,35
IL,2017,Arson,58
IL,2018,Arson,63
IL,2019,Arson,16
IL,2020,Arson,17
IL,2021,Arson,53
IN,2017,Arson,66
IN,2018,Arson,76
IN,2019,Arson,93
IN,2020,Arson,53
IN,2021,Arson,65
IA,2017,Arson,101
IA,2018,Arson,84
IA,2019,Arson,98
IA,2020,Arson,110
IA,2021,Arson,86
KS,2017,Arson,51
KS,2018,Arson,16
KS,2019,Arson,57
KS,2020,Arson,55
KS,2021,Arson,52
KY,2017,Arson,69
KY,2018,Arson,127
KY,2019,Arson,170
KY,2020,Arson,65
KY,2021,Arson,65
LA,2017,Arson,105
LA,2018,Arson,110
LA,2019,Arson,148
LA,2020,Arson,85
LA,2021,Arson,43
ME,2017,Arson,60
ME,2018,Arson,45
ME,2019,Arson,46
ME,2020,Arson,59
ME,2021,Arson,57
MD,2017,Arson,319
MD,2018,Arson,310
MD,2019,Arson,227
MD,2020,Arson,9
MD,2021,Arson,31
MA,2017,Arson,89
MA,2018,Arson,59
MA,2019,Arson,66
MA,2020,Arson,78
MA,2021,Arson,77
MI,2017,Arson,242
MI,2018,Arson,208
MI,2019,Arson,220
MI,2020,Arson,192
MI,2021,Arson,196
MN,2017,Arson,97
MN,2018,Arson,99
MN,2019,Arson,105
MN,2020,Arson,134
MN,2021,Arson,127
MS,2017,Arson,44
MS,2018,Arson,38
MS,2019,Arson,37
MS,2020,Arson,24
MS,2021,Arson,25
MO,2017,Arson,130
MO,2018,Arson,216
MO,2019,Arson,120
MO,2020,Arson,126
MO,2021,Arson,140
MT,2017,Arson,37
MT,2018,Arson,30
MT,2019,Arson,20
MT,2020,Arson,34
MT,2021,Arson,51
NE,2017,Arson,14
NE,2018,Arson,72
NE,2019,Arson,63
NE,2020,Arson,61
NE,2021,Arson,49
NV,2017,Arson,60
NV,2018,Arson,79
NV,2019,Arson,76
NV,2020,Arson,100
NV,2021,Arson,126
NH,2017,Arson,30
NH,2018,Arson,23
NH,2019,Arson,15
NH,2020,Arson,22
NH,2021,Arson,13
NJ,2017,Arson,135
NJ,2018,Arson,144
NJ,2019,Arson,121
NJ,2020,Arson,159
NJ,2021,Arson,15
NM,2017,Arson,14
NM,2018,Arson,43
NM,2019,Arson,43
NM,2020,Arson,27
NM,2021,Arson,19
NY,2017,Arson,297
NY,2018,Arson,272
NY,2019,Arson,220
NY,2020,Arson,214
NY,2021,Arson,81
NC,2017,Arson,225
NC,2018,Arson,208
NC,2019,Arson,217
NC,2020,Arson,245
NC,2021,Arson,226
ND,2017,Arson,18
ND,2018,Arson,9
ND,2019,Arson,21
ND,2020,Arson,19
ND,2021,Arson,33
OH,2017,Arson,295
OH,2018,Arson,283
OH,2019,Arson,258
OH,2020,Arson,111
OH,2021,Arson,128
OK,2017,Arson,148
OK,2018,Arson,175
OK,2019,Arson,183
OK,2020,Arson,183
OK,2021,Arson,143
OR,2017,Arson,225
OR,2018,Arson,301
OR,2019,Arson,314
OR,2020,Arson,423
OR,2021,Arson,455
PA,2017,Arson,362
PA,2018,Arson,344
PA,2019,Arson,130
PA,2020,Arson,1
PA,2021,Arson,24
RI,2017,Arson,31
RI,2018,Arson,12
RI,2019,Arson,45
RI,2020,Arson,34
RI,2021,Arson,29
SC,2017,Arson,122
SC,2018,Arson,151
SC,2019,Arson,127
SC,2020,Arson,132
SC,2021,Arson,115
SD,2017,Arson,15
SD,2018,Arson,23
SD,2019,Arson,15
SD,2020,Arson,26
SD,2021,Arson,22
TN,2017,Arson,192
TN,2018,Arson,148
TN,2019,Arson,161
TN,2020,Arson,151
TN,2021,Arson,175
TX,2017,Arson,488
TX,2018,Arson,431
TX,2019,Arson,453
TX,2020,Arson,453
TX,2021,Arson,538
UT,2017,Arson,69
UT,2018,Arson,62
UT,2019,Arson,85
UT,2020,Arson,72
UT,2021,Arson,86
VT,2017,Arson,18
VT,2018,Arson,21
VT,2019,Arson,14
VT,2020,Arson,29
VT,2021,Arson,25
VI,2018,Arson,0
VA,2017,Arson,203
VA,2018,Arson,200
VA,2019,Arson,165
VA,2020,Arson,149
VA,2021,Arson,162
WA,2017,Arson,173
WA,2018,Arson,180
WA,2019,Arson,187
WA,2020,Arson,236
WA,2021,Arson,261
WV,2017,Arson,41
WV,2018,Arson,28
WV,2019,Arson,26
WV,2020,Arson,31
WV,2021,Arson,45
WI,2017,Arson,198
WI,2018,Arson,135
WI,2019,Arson,131
WI,2020,Arson,138
WI,2021,Arson,118
WY,2017,Arson,38
WY,2018,Arson,19
WY,2019,Arson,27
WY,2020,Arson,18
WY,2021,Arson,13
AL,2017,Burglary,2880
AL,2018,Burglary,2809
AL,2019,Burglary,2198
AL,2020,Burglary,65
AL,2021,Burglary,696
AK,2017,Burglary,623
AK,2018,Burglary,602
AK,2019,Burglary,603
AK,2020,Burglary,471
AK,2021,Burglary,151
AZ,2017,Burglary,4251
AZ,2018,Burglary,3993
AZ,2019,Burglary,3871
AZ,2020,Burglary,3542
AZ,2021,Burglary,1153
AR,2017,Burglary,2138
AR,2018,Burglary,2020
AR,2019,Burglary,1964
AR,2020,Burglary,1702
AR,2021,Burglary,1651
CA,2017,Burglary,38214
CA,2018,Burglary,35230
CA,2019,Burglary,33741
CA,2020,Burglary,26220
CA,2021,Burglary,910
CO,2017,Burglary,2511
CO,2018,Burglary,2504
CO,2019,Burglary,2690
CO,2020,Burglary,2806
CO,2021,Burglary,2428
CT,2017,Burglary,2040
CT,2018,Burglary,1681
CT,2019,Burglary,1474
CT,2020,Burglary,1146
CT,2021,Burglary,984
DE,2017,Burglary,954
DE,2018,Burglary,704
DE,2019,Burglary,797
DE,2020,Burglary,643
DE,2021,Burglary,446
DC,2017,Burglary,1
DC,2018,Burglary,0
DC,2019,Burglary,0
DC,2020,Burglary,1
DC,2021,Burglary,1
FL,2017,Burglary,16513
FL,2018,Burglary,321
FL,2019,Burglary,13560
FL,2020,Burglary,12565
FL,2021,Burglary,10
GA,2017,Burglary,4735
GA,2018,Burglary,3613
GA,2019,Burglary,1663
GA,2020,Burglary,1460
GA,2021,Burglary,1745
HI,2017,Burglary,436
HI,2018,Burglary,440
HI,2019,Burglary,437
HI,2020,Burglary,342
HI,2021,Burglary,204
ID,2017,Burglary,958
ID,2018,Burglary,866
ID,2019,Burglary,764
ID,2020,Burglary,607
ID,2021,Burglary,565
IL,2017,Burglary,876
IL,2018,Burglary,1008
IL,2019,Burglary,74
IL,2020,Burglary,49
IL,2021,Burglary,568
IN,2017,Burglary,1901
IN,2018,Burglary,1750
IN,2019,Burglary,1433
IN,2020,Burglary,1093
IN,2021,Burglary,1101
IA,2017,Burglary,1737
IA,2018,Burglary,1133
IA,2019,Burglary,1547
IA,2020,Burglary,1476
IA,2021,Burglary,1046
KS,2017,Burglary,624
KS,2018,Burglary,156
KS,2019,Burglary,502
KS,2020,Burglary,502
KS,2021,Burglary,448
KY,2017,Burglary,3032
KY,2018,Burglary,2954
KY,2019,Burglary,2776
KY,2020,Burglary,2006
KY,2021,Burglary,2121
LA,2017,Burglary,4716
LA,2018,Burglary,5828
LA,2019,Burglary,5258
LA,2020,Burglary,4070
LA,2021,Burglary,2203
ME,2017,Burglary,608
ME,2018,Burglary,562
ME,2019,Burglary,505
ME,2020,Burglary,454
ME,2021,Burglary,352
MD,2017,Burglary,4807
MD,2018,Burglary,3900
MD,2019,Burglary,3670
MD,2020,Burglary,403
MD,2021,Burglary,605
MA,2017,Burglary,2221
MA,2018,Burglary,1919
MA,2019,Burglary,1702
MA,2020,Burglary,1307
MA,2021,Burglary,1242
MI,2017,Burglary,3221
MI,2018,Burglary,3056
MI,2019,Burglary,2584
MI,2020,Burglary,2374
MI,2021,Burglary,2083
MN,2017,Burglary,2287
MN,2018,Burglary,2045
MN,2019,Burglary,2071
MN,2020,Burglary,1981
MN,2021,Burglary,1756
MS,2017,Burglary,1333
MS,2018,Burglary,1048
MS,2019,Burglary,1137
MS,2020,Burglary,743
MS,2021,Burglary,594
MO,2017,Burglary,3952
MO,2018,Burglary,3443
MO,2019,Burglary,3114
MO,2020,Burglary,2707
MO,2021,Burglary,2204
MT,2017,Burglary,281
MT,2018,Burglary,329
MT,2019,Burglary,343
MT,2020,Burglary,304
MT,2021,Burglary,298
NE,2017,Burglary,340
NE,2018,Burglary,515
NE,2019,Burglary,500
NE,2020,Burglary,303
NE,2021,Burglary,245
NV,2017,Burglary,3168
NV,2018,Burglary,3130
NV,2019,Burglary,3276
NV,2020,Burglary,2148
NV,2021,Burglary,1751
NH,2017,Burglary,378
NH,2018,Burglary,326
NH,2019,Burglary,249
NH,2020,Burglary,234
NH,2021,Burglary,176
NJ,2017,Burglary,4055
NJ,2018,Burglary,3338
NJ,2019,Burglary,3310
NJ,2020,Burglary,2783
NJ,2021,Burglary,262
NM,2017,Burglary,681
NM,2018,Burglary,958
NM,2019,Burglary,776
NM,2020,Burglary,530
NM,2021,Burglary,389
NY,2017,Burglary,5414
NY,2018,Burglary,4446
NY,2019,Burglary,3929
NY,2020,Burglary,4194
NY,2021,Burglary,1030
NC,2017,Burglary,9487
NC,2018,Burglary,8985
NC,2019,Burglary,5821
NC,2020,Burglary,5757
NC,2021,Burglary,5022
ND,2017,Burglary,353
ND,2018,Burglary,260
ND,2019,Burglary,312
ND,2020,Burglary,363
ND,2021,Burglary,320
OH,2017,Burglary,4580
OH,2018,Burglary,3926
OH,2019,Burglary,3769
OH,2020,Burglary,2844
OH,2021,Burglary,2346
OK,2017,Burglary,2311
OK,2018,Burglary,2453
OK,2019,Burglary,2461
OK,2020,Burglary,2298
OK,2021,Burglary,2122
OR,2017,Burglary,1529
OR,2018,Burglary,1981
OR,2019,Burglary,2039
OR,2020,Burglary,2152
OR,2021,Burglary,1830
PA,2017,Burglary,6168
PA,2018,Burglary,5252
PA,2019,Burglary,1827
PA,2020,Burglary,31
PA,2021,Burglary,159
RI,2017,Burglary,585
RI,2018,Burglary,497
RI,2019,Burglary,485
RI,2020,Burglary,386
RI,2021,Burglary,350
SC,2017,Burglary,3686
SC,2018,Burglary,3460
SC,2019,Burglary,3278
SC,2020,Burglary,2856
SC,2021,Burglary,2339
SD,2017,Burglary,443
SD,2018,Burglary,299
SD,2019,Burglary,287
SD,2020,Burglary,302
SD,2021,Burglary,191
TN,2017,Burglary,5473
TN,2018,Burglary,4776
TN,2019,Burglary,4837
TN,2020,Burglary,4332
TN,2021,Burglary,3735
TX,2017,Burglary,11260
TX,2018,Burglary,9557
TX,2019,Burglary,8904
TX,2020,Burglary,7952
TX,2021,Burglary,7238
UT,2017,Burglary,1039
UT,2018,Burglary,951
UT,2019,Burglary,891
UT,2020,Burglary,788
UT,2021,Burglary,723
VT,2017,Burglary,294
VT,2018,Burglary,228
VT,2019,Burglary,255
VT,2020,Burglary,202
VT,2021,Burglary,188
VI,2018,Burglary,13
VA,2017,Burglary,2905
VA,2018,Burglary,2410
VA,2019,Burglary,2110
VA,2020,Burglary,1757
VA,2021,Burglary,1582
WA,2017,Burglary,4774
WA,2018,Burglary,4545
WA,2019,Burglary,4106
WA,2020,Burglary,4540
WA,2021,Burglary,4208
WV,2017,Burglary,851
WV,2018,Burglary,592
WV,2019,Burglary,506
WV,2020,Burglary,563
WV,2021,Burglary,526
WI,2017,Burglary,2673
WI,2018,Burglary,2119
WI,2019,Burglary,1780
WI,2020,Burglary,1697
WI,2021,Burglary,1250
WY,2017,Burglary,217
WY,2018,Burglary,243
WY,2019,Burglary,229
WY,2020,Burglary,211
WY,2021,Burglary,115
AL,2017,Embezzlement,152
AL,2018,Embezzlement,150
AL,2019,Embezzlement,140
AL,2020,Embezzlement,7
AL,2021,Embezzlement,4
AK,2017,Embezzlement,77
AK,2018,Embezzlement,54
AK,2019,Embezzlement,43
AK,2020,Embezzlement,35
AK,2021,Embezzlement,3
AZ,2017,Embezzlement,457
AZ,2018,Embezzlement,854
AZ,2019,Embezzlement,489
AZ,2020,Embezzlement,345
AZ,2021,Embezzlement,54
AR,2017,Embezzlement,60
AR,2018,Embezzlement,54
AR,2019,Embezzlement,52
AR,2020,Embezzlement,29
AR,2021,Embezzlement,26
CA,2017,Embezzlement,997
CA,2018,Embezzlement,921
CA,2019,Embezzlement,988
CA,2020,Embezzlement,680
CA,2021,Embezzlement,22
CO,2017,Embezzlement,128
CO,2018,Embezzlement,117
CO,2019,Embezzlement,74
CO,2020,Embezzlement,45
CO,2021,Embezzlement,72
CT,2017,Embezzlement,147
CT,2018,Embezzlement,147
CT,2019,Embezzlement,134
CT,2020,Embezzlement,75
CT,2021,Embezzlement,66
DE,2017,Embezzlement,221
DE,2018,Embezzlement,163
DE,2019,Embezzlement,164
DE,2020,Embezzlement,92
DE,2021,Embezzlement,78
DC,2017,Embezzlement,0
DC,2018,Embezzlement,0
DC,2019,Embezzlement,0
DC,2020,Embezzlement,0
DC,2021,Embezzlement,0
FL,2017,Embezzlement,1054
FL,2018,Embezzlement,18
FL,2019,Embezzlement,1047
FL,2020,Embezzlement,653
FL,2021,Embezzlement,1
GA,2017,Embezzlement,325
GA,2018,Embezzlement,208
GA,2019,Embezzlement,46
GA,2020,Embezzlement,8
GA,2021,Embezzlement,29
HI,2017,Embezzlement,14
HI,2018,Embezzlement,8
HI,2019,Embezzlement,1
HI,2020,Embezzlement,4
HI,2021,Embezzlement,7
ID,2017,Embezzlement,51
ID,2018,Embezzlement,43
ID,2019,Embezzlement,41
ID,2020,Embezzlement,34
ID,2021,Embezzlement,33
IL,2017,Embezzlement,1
IL,2018,Embezzlement,0
IL,2019,Embezzlement,0
IL,2020,Embezzlement,0
IL,2021,Embezzlement,35
IN,2017,Embezzlement,271
IN,2018,Embezzlement,210
IN,2019,Embezzlement,135
IN,2020,Embezzlement,79
IN,2021,Embezzlement,78
IA,2017,Embezzlement,79
IA,2018,Embezzlement,56
IA,2019,Embezzlement,56
IA,2020,Embezzlement,40
IA,2021,Embezzlement,62
KS,2017,Embezzlement,111
KS,2018,Embezzlement,33
KS,2019,Embezzlement,55
KS,2020,Embezzlement,28
KS,2021,Embezzlement,25
KY,2017,Embezzlement,415
KY,2018,Embezzlement,414
KY,2019,Embezzlement,368
KY,2020,Embezzlement,273
KY,2021,Embezzlement,174
LA,2017,Embezzlement,71
LA,2018,Embezzlement,140
LA,2019,Embezzlement,131
LA,2020,Embezzlement,83
LA,2021,Embezzlement,67
ME,2017,Embezzlement,41
ME,2018,Embezzlement,48
ME,2019,Embezzlement,41
ME,2020,Embezzlement,20
ME,2021,Embezzlement,15
MD,2017,Embezzlement,140
MD,2018,Embezzlement,114
MD,2019,Embezzlement,120
MD,2020,Embezzlement,8
MD,2021,Embezzlement,52
MA,2017,Embezzlement,127
MA,2018,Embezzlement,113
MA,2019,Embezzlement,86
MA,2020,Embezzlement,46
MA,2021,Embezzlement,35
MI,2017,Embezzlement,1187
MI,2018,Embezzlement,1171
MI,2019,Embezzlement,1157
MI,2020,Embezzlement,655
MI,2021,Embezzlement,615
MN,2017,Embezzlement,22
MN,2018,Embezzlement,16
MN,2019,Embezzlement,26
MN,2020,Embezzlement,51
MN,2021,Embezzlement,63
MS,2017,Embezzlement,403
MS,2018,Embezzlement,298
MS,2019,Embezzlement,340
MS,2020,Embezzlement,177
MS,2021,Embezzlement,216
MO,2017,Embezzlement,302
MO,2018,Embezzlement,249
MO,2019,Embezzlement,238
MO,2020,Embezzlement,205
MO,2021,Embezzlement,171
MT,2017,Embezzlement,36
MT,2018,Embezzlement,43
MT,2019,Embezzlement,35
MT,2020,Embezzlement,32
