State,Year,Crime,Arrests
MT,2021,Embezzlement,28
NE,2017,Embezzlement,39
NE,2018,Embezzlement,68
NE,2019,Embezzlement,69
NE,2020,Embezzlement,26
NE,2021,Embezzlement,21
NV,2017,Embezzlement,237
NV,2018,Embezzlement,289
NV,2019,Embezzlement,362
NV,2020,Embezzlement,242
NV,2021,Embezzlement,164
NH,2017,Embezzlement,136
NH,2018,Embezzlement,103
NH,2019,Embezzlement,83
NH,2020,Embezzlement,62
NH,2021,Embezzlement,44
NJ,2017,Embezzlement,273
NJ,2018,Embezzlement,248
NJ,2019,Embezzlement,212
NJ,2020,Embezzlement,107
NJ,2021,Embezzlement,22
NM,2017,Embezzlement,74
NM,2018,Embezzlement,128
NM,2019,Embezzlement,131
NM,2020,Embezzlement,61
NM,2021,Embezzlement,54
NY,2017,Embezzlement,48
NY,2018,Embezzlement,28
NY,2019,Embezzlement,20
NY,2020,Embezzlement,20
NY,2021,Embezzlement,16
NC,2017,Embezzlement,1350
NC,2018,Embezzlement,1204
NC,2019,Embezzlement,773
NC,2020,Embezzlement,633
NC,2021,Embezzlement,591
ND,2017,Embezzlement,56
ND,2018,Embezzlement,35
ND,2019,Embezzlement,52
ND,2020,Embezzlement,36
ND,2021,Embezzlement,28
OH,2017,Embezzlement,22
OH,2018,Embezzlement,18
OH,2019,Embezzlement,22
OH,2020,Embezzlement,2
OH,2021,Embezzlement,3
OK,2017,Embezzlement,410
OK,2018,Embezzlement,364
OK,2019,Embezzlement,409
OK,2020,Embezzlement,308
OK,2021,Embezzlement,129
OR,2017,Embezzlement,51
OR,2018,Embezzlement,73
OR,2019,Embezzlement,99
OR,2020,Embezzlement,58
OR,2021,Embezzlement,40
PA,2017,Embezzlement,479
PA,2018,Embezzlement,447
PA,2019,Embezzlement,172
PA,2020,Embezzlement,1
PA,2021,Embezzlement,9
RI,2017,Embezzlement,110
RI,2018,Embezzlement,75
RI,2019,Embezzlement,108
RI,2020,Embezzlement,46
RI,2021,Embezzlement,49
SC,2017,Embezzlement,419
SC,2018,Embezzlement,360
SC,2019,Embezzlement,439
SC,2020,Embezzlement,227
SC,2021,Embezzlement,186
SD,2017,Embezzlement,38
SD,2018,Embezzlement,31
SD,2019,Embezzlement,24
SD,2020,Embezzlement,18
SD,2021,Embezzlement,11
TN,2017,Embezzlement,688
TN,2018,Embezzlement,751
TN,2019,Embezzlement,812
TN,2020,Embezzlement,459
TN,2021,Embezzlement,391
TX,2017,Embezzlement,812
TX,2018,Embezzlement,456
TX,2019,Embezzlement,345
TX,2020,Embezzlement,214
TX,2021,Embezzlement,210
UT,2017,Embezzlement,34
UT,2018,Embezzlement,37
UT,2019,Embezzlement,48
UT,2020,Embezzlement,35
UT,2021,Embezzlement,17
VT,2017,Embezzlement,49
VT,2018,Embezzlement,57
VT,2019,Embezzlement,60
VT,2020,Embezzlement,36
VT,2021,Embezzlement,36
VI,2018,Embezzlement,1
VA,2017,Embezzlement,1520
VA,2018,Embezzlement,1318
VA,2019,Embezzlement,1166
VA,2020,Embezzlement,790
VA,2021,Embezzlement,615
WA,2017,Embezzlement,52
WA,2018,Embezzlement,61
WA,2019,Embezzlement,39
WA,2020,Embezzlement,23
WA,2021,Embezzlement,16
WV,2017,Embezzlement,128
WV,2018,Embezzlement,63
WV,2019,Embezzlement,41
WV,2020,Embezzlement,18
WV,2021,Embezzlement,13
WI,2017,Embezzlement,330
WI,2018,Embezzlement,379
WI,2019,Embezzlement,356
WI,2020,Embezzlement,298
WI,2021,Embezzlement,266
WY,2017,Embezzlement,18
WY,2018,Embezzlement,6
WY,2019,Embezzlement,1
WY,2020,Embezzlement,2
WY,2021,Embezzlement,0
AL,2017,Forgery and Counterfeiting,1109
AL,2018,Forgery and Counterfeiting,983
AL,2019,Forgery and Counterfeiting,846
AL,2020,Forgery and Counterfeiting,34
AL,2021,Forgery and Counterfeiting,195
AK,2017,Forgery and Counterfeiting,113
AK,2018,Forgery and Counterfeiting,154
AK,2019,Forgery and Counterfeiting,78
AK,2020,Forgery and Counterfeiting,53
AK,2021,Forgery and Counterfeiting,7
AZ,2017,Forgery and Counterfeiting,1219
AZ,2018,Forgery and Counterfeiting,1164
AZ,2019,Forgery and Counterfeiting,881
AZ,2020,Forgery and Counterfeiting,610
AZ,2021,Forgery and Counterfeiting,194
AR,2017,Forgery and Counterfeiting,859
AR,2018,Forgery and Counterfeiting,905
AR,2019,Forgery and Counterfeiting,880
AR,2020,Forgery and Counterfeiting,618
AR,2021,Forgery and Counterfeiting,495
CA,2017,Forgery and Counterfeiting,4449
CA,2018,Forgery and Counterfeiting,4118
CA,2019,Forgery and Counterfeiting,3824
CA,2020,Forgery and Counterfeiting,2753
CA,2021,Forgery and Counterfeiting,162
CO,2017,Forgery and Counterfeiting,779
CO,2018,Forgery and Counterfeiting,781
CO,2019,Forgery and Counterfeiting,801
CO,2020,Forgery and Counterfeiting,529
CO,2021,Forgery and Counterfeiting,367
CT,2017,Forgery and Counterfeiting,676
CT,2018,Forgery and Counterfeiting,600
CT,2019,Forgery and Counterfeiting,474
CT,2020,Forgery and Counterfeiting,294
CT,2021,Forgery and Counterfeiting,211
DE,2017,Forgery and Counterfeiting,280
DE,2018,Forgery and Counterfeiting,216
DE,2019,Forgery and Counterfeiting,239
DE,2020,Forgery and Counterfeiting,122
DE,2021,Forgery and Counterfeiting,98
DC,2017,Forgery and Counterfeiting,2
DC,2018,Forgery and Counterfeiting,3
DC,2019,Forgery and Counterfeiting,2
DC,2020,Forgery and Counterfeiting,0
DC,2021,Forgery and Counterfeiting,1
FL,2017,Forgery and Counterfeiting,2030
FL,2018,Forgery and Counterfeiting,64
FL,2019,Forgery and Counterfeiting,1808
FL,2020,Forgery and Counterfeiting,1215
FL,2021,Forgery and Counterfeiting,5
GA,2017,Forgery and Counterfeiting,2697
GA,2018,Forgery and Counterfeiting,2083
GA,2019,Forgery and Counterfeiting,1124
GA,2020,Forgery and Counterfeiting,724
GA,2021,Forgery and Counterfeiting,887
HI,2017,Forgery and Counterfeiting,81
HI,2018,Forgery and Counterfeiting,78
HI,2019,Forgery and Counterfeiting,83
HI,2020,Forgery and Counterfeiting,35
HI,2021,Forgery and Counterfeiting,60
ID,2017,Forgery and Counterfeiting,150
ID,2018,Forgery and Counterfeiting,143
ID,2019,Forgery and Counterfeiting,105
ID,2020,Forgery and Counterfeiting,59
ID,2021,Forgery and Counterfeiting,75
IL,2017,Forgery and Counterfeiting,106
IL,2018,Forgery and Counterfeiting,124
IL,2019,Forgery and Counterfeiting,16
IL,2020,Forgery and Counterfeiting,5
IL,2021,Forgery and Counterfeiting,104
IN,2017,Forgery and Counterfeiting,1149
IN,2018,Forgery and Counterfeiting,987
IN,2019,Forgery and Counterfeiting,774
IN,2020,Forgery and Counterfeiting,530
IN,2021,Forgery and Counterfeiting,214
IA,2017,Forgery and Counterfeiting,746
IA,2018,Forgery and Counterfeiting,454
IA,2019,Forgery and Counterfeiting,568
IA,2020,Forgery and Counterfeiting,404
IA,2021,Forgery and Counterfeiting,275
KS,2017,Forgery and Counterfeiting,264
KS,2018,Forgery and Counterfeiting,87
KS,2019,Forgery and Counterfeiting,198
KS,2020,Forgery and Counterfeiting,182
KS,2021,Forgery and Counterfeiting,111
KY,2017,Forgery and Counterfeiting,1157
KY,2018,Forgery and Counterfeiting,1381
KY,2019,Forgery and Counterfeiting,1106
KY,2020,Forgery and Counterfeiting,477
KY,2021,Forgery and Counterfeiting,505
LA,2017,Forgery and Counterfeiting,654
LA,2018,Forgery and Counterfeiting,769
LA,2019,Forgery and Counterfeiting,690
LA,2020,Forgery and Counterfeiting,427
LA,2021,Forgery and Counterfeiting,197
ME,2017,Forgery and Counterfeiting,198
ME,2018,Forgery and Counterfeiting,209
ME,2019,Forgery and Counterfeiting,146
ME,2020,Forgery and Counterfeiting,118
ME,2021,Forgery and Counterfeiting,68
MD,2017,Forgery and Counterfeiting,513
MD,2018,Forgery and Counterfeiting,462
MD,2019,Forgery and Counterfeiting,399
MD,2020,Forgery and Counterfeiting,40
MD,2021,Forgery and Counterfeiting,55
MA,2017,Forgery and Counterfeiting,467
MA,2018,Forgery and Counterfeiting,448
MA,2019,Forgery and Counterfeiting,457
MA,2020,Forgery and Counterfeiting,254
MA,2021,Forgery and Counterfeiting,201
MI,2017,Forgery and Counterfeiting,661
MI,2018,Forgery and Counterfeiting,708
MI,2019,Forgery and Counterfeiting,702
MI,2020,Forgery and Counterfeiting,502
MI,2021,Forgery and Counterfeiting,281
MN,2017,Forgery and Counterfeiting,1420
MN,2018,Forgery and Counterfeiting,1092
MN,2019,Forgery and Counterfeiting,1115
MN,2020,Forgery and Counterfeiting,930
MN,2021,Forgery and Counterfeiting,649
MS,2017,Forgery and Counterfeiting,368
MS,2018,Forgery and Counterfeiting,314
MS,2019,Forgery and Counterfeiting,335
MS,2020,Forgery and Counterfeiting,129
MS,2021,Forgery and Counterfeiting,118
MO,2017,Forgery and Counterfeiting,1280
MO,2018,Forgery and Counterfeiting,1437
MO,2019,Forgery and Counterfeiting,945
MO,2020,Forgery and Counterfeiting,765
MO,2021,Forgery and Counterfeiting,738
MT,2017,Forgery and Counterfeiting,109
MT,2018,Forgery and Counterfeiting,116
MT,2019,Forgery and Counterfeiting,177
MT,2020,Forgery and Counterfeiting,114
MT,2021,Forgery and Counterfeiting,91
NE,2017,Forgery and Counterfeiting,171
NE,2018,Forgery and Counterfeiting,301
NE,2019,Forgery and Counterfeiting,283
NE,2020,Forgery and Counterfeiting,145
NE,2021,Forgery and Counterfeiting,141
NV,2017,Forgery and Counterfeiting,539
NV,2018,Forgery and Counterfeiting,431
NV,2019,Forgery and Counterfeiting,501
NV,2020,Forgery and Counterfeiting,409
NV,2021,Forgery and Counterfeiting,263
NH,2017,Forgery and Counterfeiting,326
NH,2018,Forgery and Counterfeiting,247
NH,2019,Forgery and Counterfeiting,244
NH,2020,Forgery and Counterfeiting,165
NH,2021,Forgery and Counterfeiting,123
NJ,2017,Forgery and Counterfeiting,1034
NJ,2018,Forgery and Counterfeiting,924
NJ,2019,Forgery and Counterfeiting,950
NJ,2020,Forgery and Counterfeiting,580
NJ,2021,Forgery and Counterfeiting,54
NM,2017,Forgery and Counterfeiting,154
NM,2018,Forgery and Counterfeiting,191
NM,2019,Forgery and Counterfeiting,142
NM,2020,Forgery and Counterfeiting,38
NM,2021,Forgery and Counterfeiting,20
NY,2017,Forgery and Counterfeiting,2676
NY,2018,Forgery and Counterfeiting,2118
NY,2019,Forgery and Counterfeiting,1755
NY,2020,Forgery and Counterfeiting,1350
NY,2021,Forgery and Counterfeiting,230
NC,2017,Forgery and Counterfeiting,1624
NC,2018,Forgery and Counterfeiting,1419
NC,2019,Forgery and Counterfeiting,835
NC,2020,Forgery and Counterfeiting,647
NC,2021,Forgery and Counterfeiting,481
ND,2017,Forgery and Counterfeiting,161
ND,2018,Forgery and Counterfeiting,146
ND,2019,Forgery and Counterfeiting,162
ND,2020,Forgery and Counterfeiting,164
ND,2021,Forgery and Counterfeiting,108
OH,2017,Forgery and Counterfeiting,1007
OH,2018,Forgery and Counterfeiting,879
OH,2019,Forgery and Counterfeiting,549
OH,2020,Forgery and Counterfeiting,244
OH,2021,Forgery and Counterfeiting,155
OK,2017,Forgery and Counterfeiting,617
OK,2018,Forgery and Counterfeiting,557
OK,2019,Forgery and Counterfeiting,520
OK,2020,Forgery and Counterfeiting,393
OK,2021,Forgery and Counterfeiting,234
OR,2017,Forgery and Counterfeiting,686
OR,2018,Forgery and Counterfeiting,722
OR,2019,Forgery and Counterfeiting,752
OR,2020,Forgery and Counterfeiting,487
OR,2021,Forgery and Counterfeiting,343
PA,2017,Forgery and Counterfeiting,2428
PA,2018,Forgery and Counterfeiting,2267
PA,2019,Forgery and Counterfeiting,1002
PA,2020,Forgery and Counterfeiting,24
PA,2021,Forgery and Counterfeiting,41
RI,2017,Forgery and Counterfeiting,97
RI,2018,Forgery and Counterfeiting,124
RI,2019,Forgery and Counterfeiting,160
RI,2020,Forgery and Counterfeiting,93
RI,2021,Forgery and Counterfeiting,117
SC,2017,Forgery and Counterfeiting,1360
SC,2018,Forgery and Counterfeiting,1226
SC,2019,Forgery and Counterfeiting,1226
SC,2020,Forgery and Counterfeiting,855
SC,2021,Forgery and Counterfeiting,728
SD,2017,Forgery and Counterfeiting,104
SD,2018,Forgery and Counterfeiting,127
SD,2019,Forgery and Counterfeiting,163
SD,2020,Forgery and Counterfeiting,126
SD,2021,Forgery and Counterfeiting,128
TN,2017,Forgery and Counterfeiting,1893
TN,2018,Forgery and Counterfeiting,1836
TN,2019,Forgery and Counterfeiting,2069
TN,2020,Forgery and Counterfeiting,1425
TN,2021,Forgery and Counterfeiting,1368
TX,2017,Forgery and Counterfeiting,4687
TX,2018,Forgery and Counterfeiting,4596
TX,2019,Forgery and Counterfeiting,4081
TX,2020,Forgery and Counterfeiting,2706
TX,2021,Forgery and Counterfeiting,2043
UT,2017,Forgery and Counterfeiting,845
UT,2018,Forgery and Counterfeiting,747
UT,2019,Forgery and Counterfeiting,645
UT,2020,Forgery and Counterfeiting,493
UT,2021,Forgery and Counterfeiting,401
VT,2017,Forgery and Counterfeiting,63
VT,2018,Forgery and Counterfeiting,52
VT,2019,Forgery and Counterfeiting,48
VT,2020,Forgery and Counterfeiting,39
VT,2021,Forgery and Counterfeiting,34
VI,2018,Forgery and Counterfeiting,1
VA,2017,Forgery and Counterfeiting,1854
VA,2018,Forgery and Counterfeiting,1610
VA,2019,Forgery and Counterfeiting,1503
VA,2020,Forgery and Counterfeiting,1013
VA,2021,Forgery and Counterfeiting,809
WA,2017,Forgery and Counterfeiting,894
WA,2018,Forgery and Counterfeiting,747
WA,2019,Forgery and Counterfeiting,734
WA,2020,Forgery and Counterfeiting,467
WA,2021,Forgery and Counterfeiting,287
WV,2017,Forgery and Counterfeiting,319
WV,2018,Forgery and Counterfeiting,255
WV,2019,Forgery and Counterfeiting,198
WV,2020,Forgery and Counterfeiting,160
WV,2021,Forgery and Counterfeiting,107
WI,2017,Forgery and Counterfeiting,1014
WI,2018,Forgery and Counterfeiting,920
WI,2019,Forgery and Counterfeiting,951
WI,2020,Forgery and Counterfeiting,602
WI,2021,Forgery and Counterfeiting,388
WY,2017,Forgery and Counterfeiting,49
WY,2018,Forgery and Counterfeiting,36
WY,2019,Forgery and Counterfeiting,29
WY,2020,Forgery and Counterfeiting,19
WY,2021,Forgery and Counterfeiting,12
AL,2017,Fraud,2819
AL,2018,Fraud,2611
AL,2019,Fraud,2309
AL,2020,Fraud,56
AL,2021,Fraud,431
AK,2017,Fraud,219
AK,2018,Fraud,201
AK,2019,Fraud,121
AK,2020,Fraud,199
AK,2021,Fraud,19
AZ,2017,Fraud,2142
AZ,2018,Fraud,2183
AZ,2019,Fraud,2188
AZ,2020,Fraud,1467
AZ,2021,Fraud,609
AR,2017,Fraud,918
AR,2018,Fraud,972
AR,2019,Fraud,951
AR,2020,Fraud,625
AR,2021,Fraud,502
CA,2017,Fraud,6936
CA,2018,Fraud,6105
CA,2019,Fraud,6863
CA,2020,Fraud,5042
CA,2021,Fraud,451
CO,2017,Fraud,2643
CO,2018,Fraud,2803
CO,2019,Fraud,3010
CO,2020,Fraud,1989
CO,2021,Fraud,1636
CT,2017,Fraud,944
CT,2018,Fraud,979
CT,2019,Fraud,866
CT,2020,Fraud,563
CT,2021,Fraud,449
DE,2017,Fraud,1830
DE,2018,Fraud,1382
DE,2019,Fraud,1335
DE,2020,Fraud,827
DE,2021,Fraud,951
DC,2017,Fraud,8
DC,2018,Fraud,3
DC,2019,Fraud,2
DC,2020,Fraud,2
DC,2021,Fraud,1
FL,2017,Fraud,11601
FL,2018,Fraud,489
FL,2019,Fraud,11226
FL,2020,Fraud,8230
FL,2021,Fraud,16
GA,2017,Fraud,3483
GA,2018,Fraud,2944
GA,2019,Fraud,1465
GA,2020,Fraud,1715
GA,2021,Fraud,3138
HI,2017,Fraud,150
HI,2018,Fraud,166
HI,2019,Fraud,131
HI,2020,Fraud,115
HI,2021,Fraud,170
ID,2017,Fraud,323
ID,2018,Fraud,367
ID,2019,Fraud,357
ID,2020,Fraud,404
ID,2021,Fraud,390
IL,2017,Fraud,227
IL,2018,Fraud,247
IL,2019,Fraud,33
IL,2020,Fraud,27
IL,2021,Fraud,712
IN,2017,Fraud,1473
IN,2018,Fraud,1553
IN,2019,Fraud,1321
IN,2020,Fraud,685
IN,2021,Fraud,750
IA,2017,Fraud,815
IA,2018,Fraud,633
IA,2019,Fraud,684
IA,2020,Fraud,461
IA,2021,Fraud,756
KS,2017,Fraud,598
KS,2018,Fraud,340
KS,2019,Fraud,425
KS,2020,Fraud,386
KS,2021,Fraud,270
KY,2017,Fraud,1467
KY,2018,Fraud,1755
KY,2019,Fraud,1469
KY,2020,Fraud,779
KY,2021,Fraud,1051
LA,2017,Fraud,1218
LA,2018,Fraud,1339
LA,2019,Fraud,1167
LA,2020,Fraud,997
LA,2021,Fraud,347
ME,2017,Fraud,522
ME,2018,Fraud,482
ME,2019,Fraud,403
ME,2020,Fraud,301
ME,2021,Fraud,222
MD,2017,Fraud,1080
MD,2018,Fraud,926
MD,2019,Fraud,861
MD,2020,Fraud,87
MD,2021,Fraud,162
MA,2017,Fraud,1313
MA,2018,Fraud,1175
MA,2019,Fraud,1073
MA,2020,Fraud,615
MA,2021,Fraud,648
MI,2017,Fraud,3988
MI,2018,Fraud,3847
MI,2019,Fraud,3794
MI,2020,Fraud,2236
MI,2021,Fraud,1604
MN,2017,Fraud,2640
MN,2018,Fraud,3495
MN,2019,Fraud,4627
MN,2020,Fraud,3056
MN,2021,Fraud,2391
MS,2017,Fraud,918
MS,2018,Fraud,757
MS,2019,Fraud,801
MS,2020,Fraud,369
MS,2021,Fraud,471
MO,2017,Fraud,2015
MO,2018,Fraud,2221
MO,2019,Fraud,2005
MO,2020,Fraud,1261
MO,2021,Fraud,1276
MT,2017,Fraud,260
MT,2018,Fraud,205
MT,2019,Fraud,193
MT,2020,Fraud,125
MT,2021,Fraud,146
NE,2017,Fraud,482
NE,2018,Fraud,1372
NE,2019,Fraud,1242
NE,2020,Fraud,593
NE,2021,Fraud,409
NV,2017,Fraud,1632
NV,2018,Fraud,1827
NV,2019,Fraud,2084
NV,2020,Fraud,1399
NV,2021,Fraud,955
NH,2017,Fraud,876
NH,2018,Fraud,783
NH,2019,Fraud,750
NH,2020,Fraud,456
NH,2021,Fraud,318
NJ,2017,Fraud,3536
NJ,2018,Fraud,3752
NJ,2019,Fraud,3890
NJ,2020,Fraud,1939
NJ,2021,Fraud,90
NM,2017,Fraud,244
NM,2018,Fraud,445
NM,2019,Fraud,372
NM,2020,Fraud,116
NM,2021,Fraud,99
NY,2017,Fraud,4335
NY,2018,Fraud,4015
NY,2019,Fraud,3530
NY,2020,Fraud,1516
NY,2021,Fraud,275
NC,2017,Fraud,8433
NC,2018,Fraud,7283
NC,2019,Fraud,3462
NC,2020,Fraud,2626
NC,2021,Fraud,2317
ND,2017,Fraud,428
ND,2018,Fraud,374
ND,2019,Fraud,504
ND,2020,Fraud,542
ND,2021,Fraud,538
OH,2017,Fraud,2362
OH,2018,Fraud,2287
OH,2019,Fraud,1984
OH,2020,Fraud,1201
OH,2021,Fraud,972
OK,2017,Fraud,1509
OK,2018,Fraud,1367
OK,2019,Fraud,1183
OK,2020,Fraud,1046
OK,2021,Fraud,652
OR,2017,Fraud,1996
OR,2018,Fraud,2190
OR,2019,Fraud,2295
OR,2020,Fraud,1303
OR,2021,Fraud,1136
PA,2017,Fraud,7800
PA,2018,Fraud,8277
PA,2019,Fraud,2592
PA,2020,Fraud,32
PA,2021,Fraud,181
RI,2017,Fraud,491
RI,2018,Fraud,554
RI,2019,Fraud,592
RI,2020,Fraud,227
RI,2021,Fraud,252
SC,2017,Fraud,3943
SC,2018,Fraud,3630
SC,2019,Fraud,3533
SC,2020,Fraud,2525
SC,2021,Fraud,2068
SD,2017,Fraud,732
SD,2018,Fraud,816
SD,2019,Fraud,779
SD,2020,Fraud,581
SD,2021,Fraud,550
TN,2017,Fraud,5642
TN,2018,Fraud,5476
TN,2019,Fraud,5111
TN,2020,Fraud,3770
TN,2021,Fraud,3418
TX,2017,Fraud,6456
TX,2018,Fraud,6706
TX,2019,Fraud,7095
TX,2020,Fraud,4964
TX,2021,Fraud,5483
UT,2017,Fraud,1060
UT,2018,Fraud,1065
UT,2019,Fraud,894
UT,2020,Fraud,706
UT,2021,Fraud,644
VT,2017,Fraud,268
VT,2018,Fraud,321
VT,2019,Fraud,324
VT,2020,Fraud,179
VT,2021,Fraud,138
VI,2018,Fraud,0
VA,2017,Fraud,5332
VA,2018,Fraud,5064
VA,2019,Fraud,4872
VA,2020,Fraud,3674
VA,2021,Fraud,3678
WA,2017,Fraud,1086
WA,2018,Fraud,1210
WA,2019,Fraud,1299
WA,2020,Fraud,913
WA,2021,Fraud,634
WV,2017,Fraud,565
WV,2018,Fraud,328
WV,2019,Fraud,260
WV,2020,Fraud,209
WV,2021,Fraud,156
WI,2017,Fraud,2706
WI,2018,Fraud,2258
WI,2019,Fraud,2094
WI,2020,Fraud,1625
WI,2021,Fraud,1312
WY,2017,Fraud,158
WY,2018,Fraud,127
WY,2019,Fraud,112
WY,2020,Fraud,97
WY,2021,Fraud,35
AL,2017,Larceny - Theft,13959
AL,2018,Larceny - Theft,14513
AL,2019,Larceny - Theft,13555
AL,2020,Larceny - Theft,435
AL,2021,Larceny - Theft,2561
AK,2017,Larceny - Theft,2356
AK,2018,Larceny - Theft,2392
AK,2019,Larceny - Theft,1885
AK,2020,Larceny - Theft,1545
AK,2021,Larceny - Theft,349
AZ,2017,Larceny - Theft,30433
AZ,2018,Larceny - Theft,27123
AZ,2019,Larceny - Theft,26034
AZ,2020,Larceny - Theft,21274
AZ,2021,Larceny - Theft,7621
AR,2017,Larceny - Theft,9975
AR,2018,Larceny - Theft,11560
AR,2019,Larceny - Theft,11541
AR,2020,Larceny - Theft,8608
AR,2021,Larceny - Theft,6952
CA,2017,Larceny - Theft,47080
CA,2018,Larceny - Theft,42468
CA,2019,Larceny - Theft,40497
CA,2020,Larceny - Theft,28350
CA,2021,Larceny - Theft,1981
CO,2017,Larceny - Theft,22611
CO,2018,Larceny - Theft,22069
CO,2019,Larceny - Theft,22037
CO,2020,Larceny - Theft,15939
CO,2021,Larceny - Theft,12733
CT,2017,Larceny - Theft,11248
CT,2018,Larceny - Theft,10140
CT,2019,Larceny - Theft,9791
CT,2020,Larceny - Theft,6919
CT,2021,Larceny - Theft,5634
DE,2017,Larceny - Theft,5045
DE,2018,Larceny - Theft,4538
DE,2019,Larceny - Theft,4528
DE,2020,Larceny - Theft,3327
DE,2021,Larceny - Theft,2790
DC,2017,Larceny - Theft,100
DC,2018,Larceny - Theft,77
DC,2019,Larceny - Theft,127
DC,2020,Larceny - Theft,73
DC,2021,Larceny - Theft,69
FL,2017,Larceny - Theft,65969
FL,2018,Larceny - Theft,2166
FL,2019,Larceny - Theft,64087
FL,2020,Larceny - Theft,46556
FL,2021,Larceny - Theft,92
GA,2017,Larceny - Theft,29492
GA,2018,Larceny - Theft,25183
GA,2019,Larceny - Theft,11876
GA,2020,Larceny - Theft,9955
GA,2021,Larceny - Theft,12264
HI,2017,Larceny - Theft,2878
HI,2018,Larceny - Theft,2588
HI,2019,Larceny - Theft,2685
HI,2020,Larceny - Theft,1571
HI,2021,Larceny - Theft,1141
ID,2017,Larceny - Theft,4584
ID,2018,Larceny - Theft,4277
ID,2019,Larceny - Theft,3825
ID,2020,Larceny - Theft,2625
ID,2021,Larceny - Theft,2075
IL,2017,Larceny - Theft,7581
IL,2018,Larceny - Theft,9497
IL,2019,Larceny - Theft,453
IL,2020,Larceny - Theft,355
IL,2021,Larceny - Theft,3423
IN,2017,Larceny - Theft,13052
IN,2018,Larceny - Theft,11489
IN,2019,Larceny - Theft,9810
IN,2020,Larceny - Theft,6687
IN,2021,Larceny - Theft,7121
IA,2017,Larceny - Theft,10806
IA,2018,Larceny - Theft,8411
IA,2019,Larceny - Theft,9920
IA,2020,Larceny - Theft,7013
IA,2021,Larceny - Theft,5820
KS,2017,Larceny - Theft,3983
KS,2018,Larceny - Theft,955
KS,2019,Larceny - Theft,3354
KS,2020,Larceny - Theft,3831
KS,2021,Larceny - Theft,3160
KY,2017,Larceny - Theft,13495
KY,2018,Larceny - Theft,13589
KY,2019,Larceny - Theft,12567
KY,2020,Larceny - Theft,6535
KY,2021,Larceny - Theft,6526
LA,2017,Larceny - Theft,19940
LA,2018,Larceny - Theft,25073
LA,2019,Larceny - Theft,22860
LA,2020,Larceny - Theft,17004
LA,2021,Larceny - Theft,9348
ME,2017,Larceny - Theft,4685
ME,2018,Larceny - Theft,4623
ME,2019,Larceny - Theft,4280
ME,2020,Larceny - Theft,3366
ME,2021,Larceny - Theft,3047
MD,2017,Larceny - Theft,17586
MD,2018,Larceny - Theft,15715
MD,2019,Larceny - Theft,16185
MD,2020,Larceny - Theft,1793
MD,2021,Larceny - Theft,2247
MA,2017,Larceny - Theft,11036
MA,2018,Larceny - Theft,9556
MA,2019,Larceny - Theft,8558
MA,2020,Larceny - Theft,4946
MA,2021,Larceny - Theft,4347
MI,2017,Larceny - Theft,20106
MI,2018,Larceny - Theft,18896
MI,2019,Larceny - Theft,18215
MI,2020,Larceny - Theft,11269
MI,2021,Larceny - Theft,9690
MN,2017,Larceny - Theft,22669
MN,2018,Larceny - Theft,20179
MN,2019,Larceny - Theft,22381
MN,2020,Larceny - Theft,16054
MN,2021,Larceny - Theft,12515
MS,2017,Larceny - Theft,7345
MS,2018,Larceny - Theft,6309
MS,2019,Larceny - Theft,6497
MS,2020,Larceny - Theft,3484
MS,2021,Larceny - Theft,3268
MO,2017,Larceny - Theft,25662
MO,2018,Larceny - Theft,22165
MO,2019,Larceny - Theft,18801
MO,2020,Larceny - Theft,14575
MO,2021,Larceny - Theft,10827
MT,2017,Larceny - Theft,4434
MT,2018,Larceny - Theft,3864
MT,2019,Larceny - Theft,4032
MT,2020,Larceny - Theft,3383
MT,2021,Larceny - Theft,3062
NE,2017,Larceny - Theft,3055
NE,2018,Larceny - Theft,7715
NE,2019,Larceny - Theft,7439
NE,2020,Larceny - Theft,4211
NE,2021,Larceny - Theft,2369
NV,2017,Larceny - Theft,6538
NV,2018,Larceny - Theft,6341
NV,2019,Larceny - Theft,6492
NV,2020,Larceny - Theft,5284
NV,2021,Larceny - Theft,4704
NH,2017,Larceny - Theft,3309
NH,2018,Larceny - Theft,3206
NH,2019,Larceny - Theft,3065
NH,2020,Larceny - Theft,2325
NH,2021,Larceny - Theft,1761
NJ,2017,Larceny - Theft,20691
NJ,2018,Larceny - Theft,17766
NJ,2019,Larceny - Theft,18210
NJ,2020,Larceny - Theft,12600
NJ,2021,Larceny - Theft,1237
NM,2017,Larceny - Theft,3942
NM,2018,Larceny - Theft,6244
NM,2019,Larceny - Theft,4939
NM,2020,Larceny - Theft,3424
NM,2021,Larceny - Theft,1335
NY,2017,Larceny - Theft,38337
NY,2018,Larceny - Theft,35341
NY,2019,Larceny - Theft,32848
NY,2020,Larceny - Theft,23942
NY,2021,Larceny - Theft,6667
NC,2017,Larceny - Theft,31027
NC,2018,Larceny - Theft,31765
NC,2019,Larceny - Theft,23345
NC,2020,Larceny - Theft,18568
NC,2021,Larceny - Theft,16041
ND,2017,Larceny - Theft,3147
ND,2018,Larceny - Theft,2661
ND,2019,Larceny - Theft,2653
ND,2020,Larceny - Theft,2244
ND,2021,Larceny - Theft,1889
OH,2017,Larceny - Theft,31652
OH,2018,Larceny - Theft,28816
OH,2019,Larceny - Theft,27139
OH,2020,Larceny - Theft,15996
OH,2021,Larceny - Theft,13225
